danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,updated_popularity,genre_edm,genre_latin,genre_pop,genre_r&b,genre_rap,genre_rock,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_0,mode_1,song_age,duration_mn
0.766,0.771,-9.108,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.668493150684932,3.40045
0.588,0.697,-4.744,0.0372,0.186,0.000219,0.103,0.225,125.157,46,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7.1945205479452055,3.1736166666666668
0.752,0.84,-4.451,0.0373,0.00486,0.0109,0.0916,0.461,124.002,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6.389041095890411,4.663333333333333
0.748,0.903,-5.877,0.0385,0.0324,0.0,0.106,0.751,115.018,43,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6.35068493150685,3.617383333333333
0.607,0.995,-2.325,0.0487,0.0921,0.002,0.0445,0.664,124.998,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6.468493150684932,3.144
0.679,0.786,-6.918,0.132,0.119,5.89e-06,0.224,0.47,126.092,23,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.295890410958904,3.276883333333333
0.69,0.862,-4.154,0.0944,0.0611,1.85e-05,0.238,0.453,121.975,33,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7.252054794520548,3.13115
0.775,0.867,-7.388,0.204,0.0158,0.0117,0.0355,0.565,128.956,38,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.758904109589041,4.553816666666667
0.814,0.838,-5.547,0.0763,0.001,0.0223,0.0185,0.959,121.978,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.2164383561643834,4.26435
0.784,0.779,-5.48,0.0387,0.0357,0.025,0.0245,0.459,124.994,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.235616438356164,3.6119
0.367,0.783,-4.504,0.154,0.00515,0.0,0.0545,0.289,88.013,20,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.293150684931507,3.2108833333333333
0.609,0.83,-3.759,0.0793,0.201,6.18e-05,0.0321,0.604,117.833,48,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7.884931506849315,3.9741833333333334
0.59,0.642,-3.87,0.122,0.0771,0.0,0.105,0.651,107.356,63,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6.6,2.9074
0.791,0.565,-3.933,0.0439,0.0623,0.0,0.156,0.181,99.961,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.810958904109589,2.605783333333333
0.564,0.747,-3.374,0.0584,0.0728,0.0,0.151,0.717,97.878,50,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.465753424657534,2.762783333333333
0.669,0.801,-5.445,0.136,0.268,0.0,0.0594,0.541,109.919,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.715068493150685,3.3512
0.77,0.882,-4.792,0.0602,0.194,0.0,0.316,0.385,99.991,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.580821917808219,3.7253833333333333
0.513,0.788,-4.629,0.0364,0.00968,0.0,0.11,0.234,139.987,51,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.758904109589041,3.9743166666666667
0.72,0.864,-3.249,0.208,0.0856,0.0,0.16,0.659,96.048,48,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.657534246575342,3.1935333333333333
0.789,0.858,-4.388,0.0404,0.22,4.58e-05,0.335,0.491,110.012,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.235616438356164,2.8909166666666666
0.294,0.505,-8.106,0.042,0.12,0.0,0.0977,0.357,85.332,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6.432876712328767,3.4982166666666665
0.665,0.799,-2.868,0.0617,0.18,0.0,0.125,0.5,101.976,59,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6.523287671232877,3.8018666666666667
0.46,0.8,-3.584,0.05,0.289,6.16e-06,0.121,0.553,102.46,59,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.772602739726027,3.6732666666666667
0.362,0.921,-3.815,0.486,0.123,0.0,0.19,0.529,172.191,45,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.542465753424658,3.014
